id,Model,Task,Accuracy
69,classonly,blimp_anaphor_gender_agreement,0.635
70,classonly,blimp_anaphor_number_agreement,0.584
71,classonly,blimp_animate_subject_passive,0.557
72,classonly,blimp_animate_subject_trans,0.845
73,classonly,blimp_causative,0.469
74,classonly,blimp_complex_NP_island,0.562
75,classonly,blimp_coordinate_structure_constraint_complex_left_branch,0.25
76,classonly,blimp_coordinate_structure_constraint_object_extraction,0.442
77,classonly,blimp_determiner_noun_agreement_1,0.526
78,classonly,blimp_determiner_noun_agreement_2,0.523
79,classonly,blimp_determiner_noun_agreement_irregular_1,0.5
80,classonly,blimp_determiner_noun_agreement_irregular_2,0.541
81,classonly,blimp_determiner_noun_agreement_with_adj_2,0.49
82,classonly,blimp_determiner_noun_agreement_with_adj_irregular_1,0.527
83,classonly,blimp_determiner_noun_agreement_with_adj_irregular_2,0.509
84,classonly,blimp_determiner_noun_agreement_with_adjective_1,0.529
85,classonly,blimp_distractor_agreement_relational_noun,0.478
86,classonly,blimp_distractor_agreement_relative_clause,0.517
87,classonly,blimp_drop_argument,0.753
88,classonly,blimp_ellipsis_n_bar_1,0.455
89,classonly,blimp_ellipsis_n_bar_2,0.389
90,classonly,blimp_existential_there_object_raising,0.572
91,classonly,blimp_existential_there_quantifiers_1,0.655
92,classonly,blimp_existential_there_quantifiers_2,0.447
93,classonly,blimp_existential_there_subject_raising,0.554
94,classonly,blimp_expletive_it_object_raising,0.537
95,classonly,blimp_inchoative,0.541
96,classonly,blimp_intransitive,0.7
97,classonly,blimp_irregular_past_participle_adjectives,0.644
98,classonly,blimp_irregular_past_participle_verbs,0.396
99,classonly,blimp_irregular_plural_subject_verb_agreement_1,0.513
100,classonly,blimp_irregular_plural_subject_verb_agreement_2,0.506
101,classonly,blimp_left_branch_island_echo_question,0.333
102,classonly,blimp_left_branch_island_simple_question,0.123
103,classonly,blimp_matrix_question_npi_licensor_present,0.296
104,classonly,blimp_npi_present_1,0.009
105,classonly,blimp_npi_present_2,0.009
106,classonly,blimp_only_npi_licensor_present,0.429
107,classonly,blimp_only_npi_scope,0.654
108,classonly,blimp_passive_1,0.607
109,classonly,blimp_passive_2,0.628
110,classonly,blimp_principle_A_c_command,0.362
111,classonly,blimp_principle_A_case_1,0.966
112,classonly,blimp_principle_A_case_2,0.418
113,classonly,blimp_principle_A_domain_1,0.314
114,classonly,blimp_principle_A_domain_2,0.477
115,classonly,blimp_principle_A_domain_3,0.485
116,classonly,blimp_principle_A_reconstruction,0.186
117,classonly,blimp_regular_plural_subject_verb_agreement_1,0.462
118,classonly,blimp_regular_plural_subject_verb_agreement_2,0.465
119,classonly,blimp_sentential_negation_npi_licensor_present,1
120,classonly,blimp_sentential_negation_npi_scope,0.67
121,classonly,blimp_sentential_subject_island,0.399
122,classonly,blimp_superlative_quantifiers_1,0.484
123,classonly,blimp_superlative_quantifiers_2,0.89
124,classonly,blimp_tough_vs_raising_1,0.623
125,classonly,blimp_tough_vs_raising_2,0.373
126,classonly,blimp_transitive,0.492
127,classonly,blimp_wh_island,0.776
128,classonly,blimp_wh_questions_object_gap,0.166
129,classonly,blimp_wh_questions_subject_gap,0.465
130,classonly,blimp_wh_questions_subject_gap_long_distance,0.47
131,classonly,blimp_wh_vs_that_no_gap,0.562
132,classonly,blimp_wh_vs_that_no_gap_long_distance,0.573
133,classonly,blimp_wh_vs_that_with_gap,0.472
134,classonly,blimp_wh_vs_that_with_gap_long_distance,0.441
135,classonly,blimp,0.507761194
136,standardblimp,blimp_adjunct_island,0.646
137,standardblimp,blimp_anaphor_gender_agreement,0.798
138,standardblimp,blimp_anaphor_number_agreement,0.897
139,standardblimp,blimp_animate_subject_passive,0.669
140,standardblimp,blimp_animate_subject_trans,0.9
141,standardblimp,blimp_causative,0.531
142,standardblimp,blimp_complex_NP_island,0.328
143,standardblimp,blimp_coordinate_structure_constraint_complex_left_branch,0.089
144,standardblimp,blimp_coordinate_structure_constraint_object_extraction,0.434
145,standardblimp,blimp_determiner_noun_agreement_1,0.825
146,standardblimp,blimp_determiner_noun_agreement_2,0.851
147,standardblimp,blimp_determiner_noun_agreement_irregular_1,0.673
148,standardblimp,blimp_determiner_noun_agreement_irregular_2,0.814
149,standardblimp,blimp_determiner_noun_agreement_with_adj_2,0.751
150,standardblimp,blimp_determiner_noun_agreement_with_adj_irregular_1,0.593
151,standardblimp,blimp_determiner_noun_agreement_with_adj_irregular_2,0.746
152,standardblimp,blimp_determiner_noun_agreement_with_adjective_1,0.736
153,standardblimp,blimp_distractor_agreement_relational_noun,0.36
154,standardblimp,blimp_distractor_agreement_relative_clause,0.327
155,standardblimp,blimp_drop_argument,0.764
156,standardblimp,blimp_ellipsis_n_bar_1,0.263
157,standardblimp,blimp_ellipsis_n_bar_2,0.675
158,standardblimp,blimp_existential_there_object_raising,0.765
159,standardblimp,blimp_existential_there_quantifiers_1,0.982
160,standardblimp,blimp_existential_there_quantifiers_2,0.315
161,standardblimp,blimp_existential_there_subject_raising,0.665
162,standardblimp,blimp_expletive_it_object_raising,0.706
163,standardblimp,blimp_inchoative,0.486
164,standardblimp,blimp_intransitive,0.705
165,standardblimp,blimp_irregular_past_participle_adjectives,0.569
166,standardblimp,blimp_irregular_past_participle_verbs,0.855
167,standardblimp,blimp_irregular_plural_subject_verb_agreement_1,0.686
168,standardblimp,blimp_irregular_plural_subject_verb_agreement_2,0.585
169,standardblimp,blimp_left_branch_island_echo_question,0.762
170,standardblimp,blimp_left_branch_island_simple_question,0.225
171,standardblimp,blimp_matrix_question_npi_licensor_present,0.098
172,standardblimp,blimp_npi_present_1,0.378
173,standardblimp,blimp_npi_present_2,0.355
174,standardblimp,blimp_only_npi_licensor_present,0.274
175,standardblimp,blimp_only_npi_scope,0.531
176,standardblimp,blimp_passive_1,0.842
177,standardblimp,blimp_passive_2,0.765
178,standardblimp,blimp_principle_A_c_command,0.458
179,standardblimp,blimp_principle_A_case_1,1
180,standardblimp,blimp_principle_A_case_2,0.622
181,standardblimp,blimp_principle_A_domain_1,0.927
182,standardblimp,blimp_principle_A_domain_2,0.601
183,standardblimp,blimp_principle_A_domain_3,0.54
184,standardblimp,blimp_principle_A_reconstruction,0.261
185,standardblimp,blimp_regular_plural_subject_verb_agreement_1,0.683
186,standardblimp,blimp_regular_plural_subject_verb_agreement_2,0.649
187,standardblimp,blimp_sentential_negation_npi_licensor_present,1
188,standardblimp,blimp_sentential_negation_npi_scope,0.296
189,standardblimp,blimp_sentential_subject_island,0.364
190,standardblimp,blimp_superlative_quantifiers_1,0.805
191,standardblimp,blimp_superlative_quantifiers_2,0.332
192,standardblimp,blimp_tough_vs_raising_1,0.293
193,standardblimp,blimp_tough_vs_raising_2,0.735
194,standardblimp,blimp_transitive,0.718
195,standardblimp,blimp_wh_island,0.3
196,standardblimp,blimp_wh_questions_object_gap,0.523
197,standardblimp,blimp_wh_questions_subject_gap,0.82
198,standardblimp,blimp_wh_questions_subject_gap_long_distance,0.949
199,standardblimp,blimp_wh_vs_that_no_gap,0.922
200,standardblimp,blimp_wh_vs_that_no_gap_long_distance,0.977
201,standardblimp,blimp_wh_vs_that_with_gap,0.195
202,standardblimp,blimp_wh_vs_that_with_gap_long_distance,0.067
203,standardblimp,blimp,0.600835821
204,partialeps0.9,blimp_adjunct_island,0.723
205,partialeps0.9,blimp_anaphor_gender_agreement,0.63
206,partialeps0.9,blimp_anaphor_number_agreement,0.596
207,partialeps0.9,blimp_animate_subject_passive,0.608
208,partialeps0.9,blimp_animate_subject_trans,0.904
209,partialeps0.9,blimp_causative,0.481
210,partialeps0.9,blimp_complex_NP_island,0.473
211,partialeps0.9,blimp_coordinate_structure_constraint_complex_left_branch,0.147
212,partialeps0.9,blimp_coordinate_structure_constraint_object_extraction,0.533
213,partialeps0.9,blimp_determiner_noun_agreement_1,0.589
214,partialeps0.9,blimp_determiner_noun_agreement_2,0.529
215,partialeps0.9,blimp_determiner_noun_agreement_irregular_1,0.51
216,partialeps0.9,blimp_determiner_noun_agreement_irregular_2,0.591
217,partialeps0.9,blimp_determiner_noun_agreement_with_adj_2,0.489
218,partialeps0.9,blimp_determiner_noun_agreement_with_adj_irregular_1,0.474
219,partialeps0.9,blimp_determiner_noun_agreement_with_adj_irregular_2,0.536
220,partialeps0.9,blimp_determiner_noun_agreement_with_adjective_1,0.523
221,partialeps0.9,blimp_distractor_agreement_relational_noun,0.477
222,partialeps0.9,blimp_distractor_agreement_relative_clause,0.418
223,partialeps0.9,blimp_drop_argument,0.763
224,partialeps0.9,blimp_ellipsis_n_bar_1,0.205
225,partialeps0.9,blimp_ellipsis_n_bar_2,0.409
226,partialeps0.9,blimp_existential_there_object_raising,0.732
227,partialeps0.9,blimp_existential_there_quantifiers_1,0.82
228,partialeps0.9,blimp_existential_there_quantifiers_2,0.072
229,partialeps0.9,blimp_existential_there_subject_raising,0.524
230,partialeps0.9,blimp_expletive_it_object_raising,0.655
231,partialeps0.9,blimp_inchoative,0.47
232,partialeps0.9,blimp_intransitive,0.669
233,partialeps0.9,blimp_irregular_past_participle_adjectives,0.653
234,partialeps0.9,blimp_irregular_past_participle_verbs,0.747
235,partialeps0.9,blimp_irregular_plural_subject_verb_agreement_1,0.483
236,partialeps0.9,blimp_irregular_plural_subject_verb_agreement_2,0.505
237,partialeps0.9,blimp_left_branch_island_echo_question,0.808
238,partialeps0.9,blimp_left_branch_island_simple_question,0.16
239,partialeps0.9,blimp_matrix_question_npi_licensor_present,0.061
240,partialeps0.9,blimp_npi_present_1,0.142
241,partialeps0.9,blimp_npi_present_2,0.128
242,partialeps0.9,blimp_only_npi_licensor_present,0.519
243,partialeps0.9,blimp_only_npi_scope,0.522
244,partialeps0.9,blimp_passive_1,0.8
245,partialeps0.9,blimp_passive_2,0.731
246,partialeps0.9,blimp_principle_A_c_command,0.543
247,partialeps0.9,blimp_principle_A_case_1,1
248,partialeps0.9,blimp_principle_A_case_2,0.521
249,partialeps0.9,blimp_principle_A_domain_1,0.917
250,partialeps0.9,blimp_principle_A_domain_2,0.513
251,partialeps0.9,blimp_principle_A_domain_3,0.492
252,partialeps0.9,blimp_principle_A_reconstruction,0.242
253,partialeps0.9,blimp_regular_plural_subject_verb_agreement_1,0.636
254,partialeps0.9,blimp_regular_plural_subject_verb_agreement_2,0.465
255,partialeps0.9,blimp_sentential_negation_npi_licensor_present,1
256,partialeps0.9,blimp_sentential_negation_npi_scope,0.478
257,partialeps0.9,blimp_sentential_subject_island,0.27
258,partialeps0.9,blimp_superlative_quantifiers_1,0.404
259,partialeps0.9,blimp_superlative_quantifiers_2,0.766
260,partialeps0.9,blimp_tough_vs_raising_1,0.291
261,partialeps0.9,blimp_tough_vs_raising_2,0.754
262,partialeps0.9,blimp_transitive,0.59
263,partialeps0.9,blimp_wh_island,0.636
264,partialeps0.9,blimp_wh_questions_object_gap,0.534
265,partialeps0.9,blimp_wh_questions_subject_gap,0.96
266,partialeps0.9,blimp_wh_questions_subject_gap_long_distance,0.961
267,partialeps0.9,blimp_wh_vs_that_no_gap,0.997
268,partialeps0.9,blimp_wh_vs_that_no_gap_long_distance,0.998
269,partialeps0.9,blimp_wh_vs_that_with_gap,0.009
270,partialeps0.9,blimp_wh_vs_that_with_gap_long_distance,0.006
271,partialeps0.9,blimp,0.549134328
272,partialeps0.1,blimp_adjunct_island,0.703
273,partialeps0.1,blimp_anaphor_gender_agreement,0.845
274,partialeps0.1,blimp_anaphor_number_agreement,0.871
275,partialeps0.1,blimp_animate_subject_passive,0.684
276,partialeps0.1,blimp_animate_subject_trans,0.9
277,partialeps0.1,blimp_causative,0.543
278,partialeps0.1,blimp_complex_NP_island,0.317
279,partialeps0.1,blimp_coordinate_structure_constraint_complex_left_branch,0.126
280,partialeps0.1,blimp_coordinate_structure_constraint_object_extraction,0.405
281,partialeps0.1,blimp_determiner_noun_agreement_1,0.828
282,partialeps0.1,blimp_determiner_noun_agreement_2,0.852
283,partialeps0.1,blimp_determiner_noun_agreement_irregular_1,0.689
284,partialeps0.1,blimp_determiner_noun_agreement_irregular_2,0.805
285,partialeps0.1,blimp_determiner_noun_agreement_with_adj_2,0.756
286,partialeps0.1,blimp_determiner_noun_agreement_with_adj_irregular_1,0.627
287,partialeps0.1,blimp_determiner_noun_agreement_with_adj_irregular_2,0.759
288,partialeps0.1,blimp_determiner_noun_agreement_with_adjective_1,0.742
289,partialeps0.1,blimp_distractor_agreement_relational_noun,0.346
290,partialeps0.1,blimp_distractor_agreement_relative_clause,0.292
291,partialeps0.1,blimp_drop_argument,0.736
292,partialeps0.1,blimp_ellipsis_n_bar_1,0.268
293,partialeps0.1,blimp_ellipsis_n_bar_2,0.613
294,partialeps0.1,blimp_existential_there_object_raising,0.769
295,partialeps0.1,blimp_existential_there_quantifiers_1,0.966
296,partialeps0.1,blimp_existential_there_quantifiers_2,0.634
297,partialeps0.1,blimp_existential_there_subject_raising,0.701
298,partialeps0.1,blimp_expletive_it_object_raising,0.706
299,partialeps0.1,blimp_inchoative,0.467
300,partialeps0.1,blimp_intransitive,0.669
301,partialeps0.1,blimp_irregular_past_participle_adjectives,0.766
302,partialeps0.1,blimp_irregular_past_participle_verbs,0.852
303,partialeps0.1,blimp_irregular_plural_subject_verb_agreement_1,0.677
304,partialeps0.1,blimp_irregular_plural_subject_verb_agreement_2,0.606
305,partialeps0.1,blimp_left_branch_island_echo_question,0.746
306,partialeps0.1,blimp_left_branch_island_simple_question,0.285
307,partialeps0.1,blimp_matrix_question_npi_licensor_present,0.117
308,partialeps0.1,blimp_npi_present_1,0.224
309,partialeps0.1,blimp_npi_present_2,0.242
310,partialeps0.1,blimp_only_npi_licensor_present,0.365
311,partialeps0.1,blimp_only_npi_scope,0.586
312,partialeps0.1,blimp_passive_1,0.84
313,partialeps0.1,blimp_passive_2,0.776
314,partialeps0.1,blimp_principle_A_c_command,0.418
315,partialeps0.1,blimp_principle_A_case_1,1
316,partialeps0.1,blimp_principle_A_case_2,0.624
317,partialeps0.1,blimp_principle_A_domain_1,0.931
318,partialeps0.1,blimp_principle_A_domain_2,0.606
319,partialeps0.1,blimp_principle_A_domain_3,0.539
320,partialeps0.1,blimp_principle_A_reconstruction,0.3
321,partialeps0.1,blimp_regular_plural_subject_verb_agreement_1,0.74
322,partialeps0.1,blimp_regular_plural_subject_verb_agreement_2,0.631
323,partialeps0.1,blimp_sentential_negation_npi_licensor_present,1
324,partialeps0.1,blimp_sentential_negation_npi_scope,0.302
325,partialeps0.1,blimp_sentential_subject_island,0.375
326,partialeps0.1,blimp_superlative_quantifiers_1,0.841
327,partialeps0.1,blimp_superlative_quantifiers_2,0.49
328,partialeps0.1,blimp_tough_vs_raising_1,0.334
329,partialeps0.1,blimp_tough_vs_raising_2,0.7
330,partialeps0.1,blimp_transitive,0.711
331,partialeps0.1,blimp_wh_island,0.489
332,partialeps0.1,blimp_wh_questions_object_gap,0.6
333,partialeps0.1,blimp_wh_questions_subject_gap,0.881
334,partialeps0.1,blimp_wh_questions_subject_gap_long_distance,0.966
335,partialeps0.1,blimp_wh_vs_that_no_gap,0.969
336,partialeps0.1,blimp_wh_vs_that_no_gap_long_distance,0.988
337,partialeps0.1,blimp_wh_vs_that_with_gap,0.108
338,partialeps0.1,blimp_wh_vs_that_with_gap_long_distance,0.033
339,partialeps0.1,blimp,0.616074627
